Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH5RS10K166,Towne Toyota,NJ
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH5RS11L491,Queensboro Toyota,NY
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,True,,5TDEBRCH5RS11M415,Route 22 Toyota,NJ
2024,Platinum AWD,Ruby Flare Pearl,53375,0.0,53375.0,Factory to port,True,DealerHold,5TDEBRCH5RS11M432,Findlay Toyota Flagstaff,AZ
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH5RS11M477,Toyota of Vineland,NJ
2024,Platinum AWD,Moon Dust,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH5RS11M480,Lia Toyota of Colonie,NY
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Factory to port,False,Available,5TDEBRCH5RS12J221,Beck Toyota,IN
2024,Platinum AWD,Cypress,53375,0.0,53375.0,Factory to port,False,DealerHold,5TDEBRCH5RS13J599,Team Toyota of Glen Mills,PA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Factory to port,True,Available,5TDEBRCH5RS13K526,Alderman's Toyota,VT
2024,Platinum AWD,Celestial Silver Metallic,53375,995.0,54370.0,Factory to port,True,DealerHold,5TDEBRCH5RS13K543,Toyota of Berkeley,CA
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,True,DealerHold,5TDEBRCH5RS141968,Avondale Toyota,AZ
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH5RS142263,Grants Pass Toyota,OR
2024,Platinum AWD,Magnetic Gray Metallic,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH5RS142375,Toyota of Gladstone,OR
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,At dealer,True,DealerHold,5TDEBRCH5RS142392,Joel Confer Toyota,PA
2024,Platinum AWD,Blueprint,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH5RS142425,Colonial Toyota,CT
2024,Platinum AWD,Wind Chill Pearl,53375,0.0,53375.0,Port to dealer,False,DealerHold,5TDEBRCH5RS142456,Jay Wolfe Toyota,MO
